a/a,METEO_ID,METEO_CODE,METEO_DESCR,METEO_LAT,METEO_LON,YPSOMETRO,DATE,MEAN_TEMP,HIGH_TEMP,TIME_HIGH_TEMP,LOW_TEMP,TIME_LOW_TEMP,HEAT_DEG_DAYS,HEAT_LOW_DAYS,RAIN,AVG_WIND_SPEED,HIGH_WIND_SPEED,TIME_HIGH_WIND_SPEED,DOM_DIR,OUT_HUM,OUT_HUM_MAX,OUT_HUM_MIN
91,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,08/30/09,22.7,26.7,01/03/01 12:00 AM,18.8,00:00:00,0,4.4,0,1.6,17.7,0.9,N,50.7,67,37
92,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,08/31/09,22.1,26.5,01/03/01 12:00 AM,18.2,00:00:00,0,3.7,0,3.1,29,0.8,N,59.5,83,33
93,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,09/01/09,20.2,24.2,01/03/01 12:00 AM,17.2,00:00:00,0.1,2,0,4.3,24.1,0.7,N,79.7,90,59
94,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,09/02/09,19.3,24.7,01/03/01 12:00 AM,16.1,00:00:00,0.6,1.5,0,5.3,24.1,0.6,N,68.2,94,39
95,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,09/03/09,21.8,26.7,01/03/01 12:00 AM,17.3,00:00:00,0.1,3.6,0,2.3,17.7,0.6,N,44.3,67,32
96,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,09/04/09,23.8,28.2,01/03/01 12:00 AM,20.2,00:00:00,0,5.5,0,1.8,19.3,0.5,N,38.8,52,27
97,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,09/05/09,24.8,30.3,01/03/01 12:00 AM,20.6,00:00:00,0,6.5,0,1.8,16.1,0.6,N,39.3,56,30
98,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,09/06/09,23.6,28.8,01/03/01 12:00 AM,19.3,00:00:00,0,5.3,0,1.9,16.1,0.9,N,53.5,89,34
99,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,09/07/09,18.6,21.7,01/03/01 12:00 AM,16.6,00:00:00,0.4,0.7,0,5.3,27.4,0.5,N,89,97,75
100,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,09/08/09,15.6,16.7,01/03/01 12:00 AM,14.7,00:00:00,2.7,0,0,7.1,32.2,0.7,N,97.7,99,93
